:0;:1;:2;u_x;u_y;u_z
9.55;0.8;0;0.00E+00;0.00E+00;9.44E-09
9.6;0.8;0;0.00E+00;0.00E+00;1.47E-09
9.65;0.8;0;0.00E+00;0.00E+00;7.76E-09
9.7;0.8;0;0.00E+00;0.00E+00;1.20E-09
9.75;0.8;0;0.00E+00;0.00E+00;5.62E-09
9.8;0.8;0;0.00E+00;0.00E+00;6.08E-10
9.85;0.8;0;0.00E+00;0.00E+00;3.24E-09
9.9;0.8;0;0.00E+00;0.00E+00;1.01E-10
9.95;0.8;0;0.00E+00;0.00E+00;9.84E-10
10;0.8;0;0.00E+00;0.00E+00;0.00E+00
9.15;0;0;0.00E+00;0.00E+00;1.37E-08
9.15;0.05;0;0.00E+00;0.00E+00;1.75E-09
9.15;0.1;0;0.00E+00;0.00E+00;1.35E-08
9.15;0.15;0;0.00E+00;0.00E+00;1.41E-09
9.15;0.2;0;0.00E+00;0.00E+00;1.33E-08
9.15;0.25;0;0.00E+00;0.00E+00;1.34E-09
9.15;0.3;0;0.00E+00;0.00E+00;1.32E-08
9.15;0.35;0;0.00E+00;0.00E+00;1.06E-09
9.15;0.4;0;0.00E+00;0.00E+00;1.31E-08
9.15;0.45;0;0.00E+00;0.00E+00;1.14E-09
9.15;0.5;0;0.00E+00;0.00E+00;1.32E-08
9.15;0.55;0;0.00E+00;0.00E+00;1.73E-09
9.15;0.6;0;0.00E+00;0.00E+00;1.32E-08
9.15;0.65;0;0.00E+00;0.00E+00;2.03E-09
9.15;0.7;0;0.00E+00;0.00E+00;1.32E-08
9.15;0.75;0;0.00E+00;0.00E+00;2.19E-09
9.15;0.8;0;0.00E+00;0.00E+00;1.31E-08
9.15;0.85;0;0.00E+00;0.00E+00;2.19E-09
9.2;0.85;0;0.00E+00;0.00E+00;1.29E-08
9.25;0.85;0;0.00E+00;0.00E+00;2.20E-09
9.3;0.85;0;0.00E+00;0.00E+00;1.23E-08
9.35;0.85;0;0.00E+00;0.00E+00;1.72E-09
9.4;0.85;0;0.00E+00;0.00E+00;1.13E-08
9.45;0.85;0;0.00E+00;0.00E+00;0.00E+00
9.5;0.85;0;0.00E+00;0.00E+00;1.01E-08
9.55;0.85;0;0.00E+00;0.00E+00;1.43E-09
9.6;0.85;0;0.00E+00;0.00E+00;8.67E-09
9.65;0.85;0;0.00E+00;0.00E+00;1.52E-09
9.7;0.85;0;0.00E+00;0.00E+00;6.76E-09
9.75;0.85;0;0.00E+00;0.00E+00;1.05E-09
9.8;0.85;0;0.00E+00;0.00E+00;4.46E-09
9.85;0.85;0;0.00E+00;0.00E+00;4.12E-10
9.9;0.85;0;0.00E+00;0.00E+00;2.07E-09
9.95;0.85;0;0.00E+00;0.00E+00;1.61E-11
10;0.85;0;0.00E+00;0.00E+00;0.00E+00
9.1;0;0;0.00E+00;0.00E+00;2.12E-09
9.1;0.05;0;0.00E+00;0.00E+00;1.39E-08
9.1;0.1;0;0.00E+00;0.00E+00;1.30E-09
9.1;0.15;0;0.00E+00;0.00E+00;1.36E-08
9.1;0.2;0;0.00E+00;0.00E+00;1.07E-09
9.1;0.25;0;0.00E+00;0.00E+00;1.35E-08
9.1;0.3;0;0.00E+00;0.00E+00;1.44E-09
9.1;0.35;0;0.00E+00;0.00E+00;1.34E-08
9.1;0.4;0;0.00E+00;0.00E+00;1.48E-09
9.1;0.45;0;0.00E+00;0.00E+00;1.34E-08
9.1;0.5;0;0.00E+00;0.00E+00;1.71E-09
9.1;0.55;0;0.00E+00;0.00E+00;1.34E-08
9.1;0.6;0;0.00E+00;0.00E+00;2.00E-09
9.1;0.65;0;0.00E+00;0.00E+00;1.34E-08
9.1;0.7;0;0.00E+00;0.00E+00;2.13E-09
9.1;0.75;0;0.00E+00;0.00E+00;1.33E-08
9.1;0.8;0;0.00E+00;0.00E+00;2.13E-09
9.1;0.85;0;0.00E+00;0.00E+00;1.32E-08
9.1;0.9;0;0.00E+00;0.00E+00;1.95E-09
9.15;0.9;0;0.00E+00;0.00E+00;1.30E-08
9.2;0.9;0;0.00E+00;0.00E+00;2.28E-09
9.25;0.9;0;0.00E+00;0.00E+00;1.26E-08
9.3;0.9;0;0.00E+00;0.00E+00;2.12E-09
9.35;0.9;0;0.00E+00;0.00E+00;1.18E-08
9.4;0.9;0;0.00E+00;0.00E+00;1.39E-09
9.45;0.9;0;0.00E+00;0.00E+00;1.07E-08
9.5;0.9;0;0.00E+00;0.00E+00;1.26E-09
9.55;0.9;0;0.00E+00;0.00E+00;9.46E-09
9.6;0.9;0;0.00E+00;0.00E+00;1.70E-09
9.65;0.9;0;0.00E+00;0.00E+00;7.80E-09
9.7;0.9;0;0.00E+00;0.00E+00;1.45E-09
9.75;0.9;0;0.00E+00;0.00E+00;5.66E-09
9.8;0.9;0;0.00E+00;0.00E+00;7.99E-10
9.85;0.9;0;0.00E+00;0.00E+00;3.26E-09
9.9;0.9;0;0.00E+00;0.00E+00;1.82E-10
9.95;0.9;0;0.00E+00;0.00E+00;9.73E-10
10;0.9;0;0.00E+00;0.00E+00;0.00E+00
9.05;0;0;0.00E+00;0.00E+00;1.45E-08
9.05;0.05;0;0.00E+00;0.00E+00;2.08E-09
9.05;0.1;0;0.00E+00;0.00E+00;1.40E-08
9.05;0.15;0;0.00E+00;0.00E+00;0.00E+00
9.05;0.2;0;0.00E+00;0.00E+00;1.38E-08
9.05;0.25;0;0.00E+00;0.00E+00;1.52E-09
9.05;0.3;0;0.00E+00;0.00E+00;1.37E-08
9.05;0.35;0;0.00E+00;0.00E+00;1.75E-09
9.05;0.4;0;0.00E+00;0.00E+00;1.36E-08
