Points:0;Points:1;Points:2;u_x;u_y;u_z
0.7;0.3;0;0.00E+00;0.00E+00;-1.77E-08
0.7;0.35;0;0.00E+00;0.00E+00;2.05E-07
0.7;0.4;0;0.00E+00;0.00E+00;-1.59E-08
0.7;0.45;0;0.00E+00;0.00E+00;2.03E-07
0.7;0.5;0;0.00E+00;0.00E+00;-2.08E-08
0.7;0.55;0;0.00E+00;0.00E+00;1.99E-07
0.7;0.6;0;0.00E+00;0.00E+00;-3.83E-08
0.7;0.65;0;0.00E+00;0.00E+00;1.94E-07
0.7;0.7;0;0.00E+00;0.00E+00;-5.87E-08
0.65;0.7;0;0.00E+00;0.00E+00;1.81E-07
0.6;0.7;0;0.00E+00;0.00E+00;-2.84E-08
0.55;0.7;0;0.00E+00;0.00E+00;1.58E-07
0.5;0.7;0;0.00E+00;0.00E+00;-1.17E-08
0.45;0.7;0;0.00E+00;0.00E+00;1.31E-07
0.4;0.7;0;0.00E+00;0.00E+00;-5.09E-09
0.35;0.7;0;0.00E+00;0.00E+00;1.03E-07
0.3;0.7;0;0.00E+00;0.00E+00;-2.41E-09
0.25;0.7;0;0.00E+00;0.00E+00;7.18E-08
0.2;0.7;0;0.00E+00;0.00E+00;0.00E+00
0.15;0.7;0;0.00E+00;0.00E+00;4.01E-08
0.1;0.7;0;0.00E+00;0.00E+00;-3.67E-09
0.05;0.7;0;0.00E+00;0.00E+00;1.15E-08
0;0.7;0;0.00E+00;0.00E+00;0.00E+00
0.75;0;0;0.00E+00;0.00E+00;2.32E-07
0.75;0.05;0;0.00E+00;0.00E+00;-1.87E-08
0.75;0.1;0;0.00E+00;0.00E+00;2.26E-07
0.75;0.15;0;0.00E+00;0.00E+00;-2.46E-08
0.75;0.2;0;0.00E+00;0.00E+00;2.21E-07
0.75;0.25;0;0.00E+00;0.00E+00;-2.62E-08
0.75;0.3;0;0.00E+00;0.00E+00;2.19E-07
0.75;0.35;0;0.00E+00;0.00E+00;-1.64E-08
0.75;0.4;0;0.00E+00;0.00E+00;2.17E-07
0.75;0.45;0;0.00E+00;0.00E+00;-2.31E-08
0.75;0.5;0;0.00E+00;0.00E+00;2.12E-07
0.75;0.55;0;0.00E+00;0.00E+00;-4.96E-08
0.75;0.6;0;0.00E+00;0.00E+00;2.07E-07
0.75;0.65;0;0.00E+00;0.00E+00;-6.88E-08
0.75;0.7;0;0.00E+00;0.00E+00;2.04E-07
0.75;0.75;0;0.00E+00;0.00E+00;-8.14E-08
0.7;0.75;0;0.00E+00;0.00E+00;1.90E-07
0.65;0.75;0;0.00E+00;0.00E+00;-4.58E-08
0.6;0.75;0;0.00E+00;0.00E+00;1.68E-07
0.55;0.75;0;0.00E+00;0.00E+00;-1.87E-08
0.5;0.75;0;0.00E+00;0.00E+00;1.44E-07
0.45;0.75;0;0.00E+00;0.00E+00;-7.39E-09
0.4;0.75;0;0.00E+00;0.00E+00;1.17E-07
0.35;0.75;0;0.00E+00;0.00E+00;-4.34E-09
0.3;0.75;0;0.00E+00;0.00E+00;8.67E-08
0.25;0.75;0;0.00E+00;0.00E+00;-2.68E-09
0.2;0.75;0;0.00E+00;0.00E+00;5.54E-08
0.15;0.75;0;0.00E+00;0.00E+00;-3.51E-09
0.1;0.75;0;0.00E+00;0.00E+00;2.48E-08
0.05;0.75;0;0.00E+00;0.00E+00;-2.97E-09
0;0.75;0;0.00E+00;0.00E+00;0.00E+00
0.8;0;0;0.00E+00;0.00E+00;-1.78E-08
0.8;0.05;0;0.00E+00;0.00E+00;2.47E-07
0.8;0.1;0;0.00E+00;0.00E+00;-2.45E-08
0.8;0.15;0;0.00E+00;0.00E+00;2.40E-07
0.8;0.2;0;0.00E+00;0.00E+00;-3.19E-08
0.8;0.25;0;0.00E+00;0.00E+00;2.34E-07
0.8;0.3;0;0.00E+00;0.00E+00;-3.35E-08
0.8;0.35;0;0.00E+00;0.00E+00;2.31E-07
0.8;0.4;0;0.00E+00;0.00E+00;0.00E+00
0.8;0.45;0;0.00E+00;0.00E+00;2.27E-07
0.8;0.5;0;0.00E+00;0.00E+00;-5.73E-08
0.8;0.55;0;0.00E+00;0.00E+00;2.21E-07
0.8;0.6;0;0.00E+00;0.00E+00;-8.01E-08
0.8;0.65;0;0.00E+00;0.00E+00;2.19E-07
0.8;0.7;0;0.00E+00;0.00E+00;-9.33E-08
0.8;0.75;0;0.00E+00;0.00E+00;2.19E-07
0.8;0.8;0;0.00E+00;0.00E+00;-9.81E-08
0.75;0.8;0;0.00E+00;0.00E+00;2.03E-07
0.7;0.8;0;0.00E+00;0.00E+00;-6.71E-08
0.65;0.8;0;0.00E+00;0.00E+00;1.78E-07
0.6;0.8;0;0.00E+00;0.00E+00;-2.84E-08
0.55;0.8;0;0.00E+00;0.00E+00;1.56E-07
0.5;0.8;0;0.00E+00;0.00E+00;-8.06E-09
0.45;0.8;0;0.00E+00;0.00E+00;1.30E-07
0.4;0.8;0;0.00E+00;0.00E+00;-6.58E-09
0.35;0.8;0;0.00E+00;0.00E+00;1.01E-07
0.3;0.8;0;0.00E+00;0.00E+00;-4.60E-09
0.25;0.8;0;0.00E+00;0.00E+00;7.04E-08
0.2;0.8;0;0.00E+00;0.00E+00;-4.30E-09
0.15;0.8;0;0.00E+00;0.00E+00;3.93E-08
0.1;0.8;0;0.00E+00;0.00E+00;-4.55E-09
0.05;0.8;0;0.00E+00;0.00E+00;1.15E-08
0;0.8;0;0.00E+00;0.00E+00;0.00E+00
0.85;0;0;0.00E+00;0.00E+00;2.71E-07
0.85;0.05;0;0.00E+00;0.00E+00;-2.10E-08
0.85;0.1;0;0.00E+00;0.00E+00;2.63E-07
0.85;0.15;0;0.00E+00;0.00E+00;-2.92E-08
0.85;0.2;0;0.00E+00;0.00E+00;2.53E-07
0.85;0.25;0;0.00E+00;0.00E+00;-4.33E-08
0.85;0.3;0;0.00E+00;0.00E+00;2.46E-07
0.85;0.35;0;0.00E+00;0.00E+00;-4.60E-08
0.85;0.4;0;0.00E+00;0.00E+00;2.41E-07
0.85;0.45;0;0.00E+00;0.00E+00;-6.13E-08
0.85;0.5;0;0.00E+00;0.00E+00;2.36E-07
0.85;0.55;0;0.00E+00;0.00E+00;-9.15E-08
0.85;0.6;0;0.00E+00;0.00E+00;2.35E-07
0.85;0.65;0;0.00E+00;0.00E+00;-1.04E-07
0.85;0.7;0;0.00E+00;0.00E+00;2.37E-07
0.85;0.75;0;0.00E+00;0.00E+00;-1.09E-07
0.85;0.8;0;0.00E+00;0.00E+00;2.43E-07
0.85;0.85;0;0.00E+00;0.00E+00;-1.04E-07
0.8;0.85;0;0.00E+00;0.00E+00;2.22E-07
0.75;0.85;0;0.00E+00;0.00E+00;-8.57E-08
0.7;0.85;0;0.00E+00;0.00E+00;1.89E-07
0.65;0.85;0;0.00E+00;0.00E+00;-5.09E-08
0.6;0.85;0;0.00E+00;0.00E+00;1.66E-07
0.55;0.85;0;0.00E+00;0.00E+00;0.00E+00
0.5;0.85;0;0.00E+00;0.00E+00;1.42E-07
0.45;0.85;0;0.00E+00;0.00E+00;-9.27E-09
0.4;0.85;0;0.00E+00;0.00E+00;1.14E-07
0.35;0.85;0;0.00E+00;0.00E+00;-7.01E-09
0.3;0.85;0;0.00E+00;0.00E+00;8.50E-08
0.25;0.85;0;0.00E+00;0.00E+00;-5.37E-09
0.2;0.85;0;0.00E+00;0.00E+00;5.42E-08
0.15;0.85;0;0.00E+00;0.00E+00;-5.17E-09
0.1;0.85;0;0.00E+00;0.00E+00;2.45E-08
0.05;0.85;0;0.00E+00;0.00E+00;-3.09E-09
0;0.85;0;0.00E+00;0.00E+00;0.00E+00
0.9;0;0;0.00E+00;0.00E+00;-1.81E-08
0.9;0.05;0;0.00E+00;0.00E+00;2.90E-07
0.9;0.1;0;0.00E+00;0.00E+00;-1.89E-08
0.9;0.15;0;0.00E+00;0.00E+00;2.79E-07
0.9;0.2;0;0.00E+00;0.00E+00;-3.67E-08
0.9;0.25;0;0.00E+00;0.00E+00;2.66E-07
0.9;0.3;0;0.00E+00;0.00E+00;-6.55E-08
0.9;0.35;0;0.00E+00;0.00E+00;2.58E-07
0.9;0.4;0;0.00E+00;0.00E+00;-8.13E-08
0.9;0.45;0;0.00E+00;0.00E+00;2.53E-07
0.9;0.5;0;0.00E+00;0.00E+00;-1.02E-07
0.9;0.55;0;0.00E+00;0.00E+00;2.51E-07
0.9;0.6;0;0.00E+00;0.00E+00;-1.17E-07
0.9;0.65;0;0.00E+00;0.00E+00;2.55E-07
0.9;0.7;0;0.00E+00;0.00E+00;-1.20E-07
0.9;0.75;0;0.00E+00;0.00E+00;2.67E-07
0.9;0.8;0;0.00E+00;0.00E+00;-1.09E-07
0.9;0.85;0;0.00E+00;0.00E+00;2.82E-07
0.9;0.9;0;0.00E+00;0.00E+00;-9.30E-08
0.85;0.9;0;0.00E+00;0.00E+00;2.52E-07
0.8;0.9;0;0.00E+00;0.00E+00;-9.70E-08
0.75;0.9;0;0.00E+00;0.00E+00;2.04E-07
0.7;0.9;0;0.00E+00;0.00E+00;-7.19E-08
0.65;0.9;0;0.00E+00;0.00E+00;1.75E-07
